Author,Rank,Rating,Score,Title
Marissa Meyer,40, 4.15 ," 3,440",Cinder
C.J. Cherryh,41, 3.91 ," 3,381",Downbelow Station
Anne McCaffrey,42, 4.01 ," 3,361",The Ship Who Sang
Deborah O'Neill Cordes,43, 3.81 ," 3,340",Dragon Dawn
Anne McCaffrey,44, 4.25 ," 3,092",Dragonsong
Lois McMaster Bujold,45, 3.83 ," 3,054",Falling Free
Lois McMaster Bujold,46, 3.76 ," 2,904",Ethan of Athos
Madeleine L'Engle,47, 4.11 ," 2,831",A Swiftly Tilting Planet
Octavia E. Butler,48, 4.12 ," 2,755",Dawn
Lois McMaster Bujold,49, 4.30 ," 2,579",Komarr
C.J. Cherryh,50, 3.94 ," 2,547",Foreigner
Kate Wilhelm,51, 3.87 ," 2,535",Where Late the Sweet Birds Sang
Nancy Kress,52, 3.94 ," 2,526",Beggars in Spain
James Tiptree Jr.,53, 4.21 ," 2,524",Her Smoke Rose Up Forever
Tanith Lee,54, 4.03 ," 2,504",The Silver Metal Lover
Lois McMaster Bujold,55, 4.37 ," 2,498",Cordelia's Honor
C.J. Cherryh,56, 3.92 ," 2,469",The Pride of Chanur
Emily St. John Mandel,57, 4.03 ," 2,450",Station Eleven
C.J. Cherryh,58,really liked it 4.00 ," 2,316",Cyteen
Lois McMaster Bujold,59, 4.24 ," 2,306",Borders of Infinity
Sheri S. Tepper,60, 4.04 ," 2,203",Grass
K.T. Hanna,61, 4.18 ," 2,199",Chameleon
Sheri S. Tepper,62, 4.05 ," 2,191",The Gate to Women's Country
Joanna Russ,63, 3.54 ," 2,128",The Female Man
Kage Baker,64, 3.77 ," 2,038",In the Garden of Iden
Ceri London,65, 4.44 ," 2,013",Rogue Genesis
Octavia E. Butler,66, 4.24 ," 2,006",Parable of the Talents
C.J. Cherryh,67, 4.12 ," 1,931",The Faded Sun Trilogy
Lois McMaster Bujold,68, 4.18 ," 1,914",Diplomatic Immunity
Naomi Novik,69, 4.06 ," 1,849",His Majesty's Dragon
Elizabeth Moon,70,really liked it 4.00 ," 1,819",The Speed of Dark
Marion Zimmer Bradley,71, 3.88 ," 1,748",Darkover Landfall
Hayley Stone,72, 3.79 ," 1,698",Machinations
G.S. Jennsen,73, 4.22 ," 1,684",Vertigo
Lois McMaster Bujold,74, 4.06 ," 1,683",CryoBurn
Octavia E. Butler,75, 4.33 ," 1,659",Seed to Harvest
Ursula K. Le Guin,76, 4.04 ," 1,572",The Wind's Twelve Quarters
Elizabeth Moon,77, 4.06 ," 1,547",Remnant Population
Ursula K. Le Guin,78, 3.95 ," 1,510",The Word for World is Forest
Ann Aguirre,79, 3.73 ," 1,497",Grimspace
Nicola Griffith,80, 3.86 ," 1,477",Ammonite
Beth Revis,81, 3.77 ," 1,435",Across the Universe
C.J. Cherryh,82, 4.19 ," 1,392",Inheritor
Mya Robarts,83, 4.02 ," 1,380",The V Girl
Lauren Oliver,84, 3.98 ," 1,366",Delirium
Vonda N. McIntyre,85, 3.86 ," 1,324",Dreamsnake
Pamela Sargent,86,really liked it 4.00 ," 1,297",Women of Wonder: Science-Fiction Stories by Women about Women
Martha Wells,87, 4.15 ," 1,296",All Systems Red
Elizabeth Moon,88, 3.98 ," 1,286",Trading in Danger
C.J. Cherryh,89, 4.17 ," 1,276",Invader
Marge Piercy,89, 3.95 ," 1,276",Woman on the Edge of Time
Maureen F. McHugh,91, 3.94 ," 1,253",China Mountain Zhang
S.L. Viehl,92, 3.80 ," 1,230",Stardoc
Margaret Atwood,93,really liked it 4.00 ," 1,212",MaddAddam
Tanya Huff,94, 3.98 ," 1,165",Valor's Choice
Connie Willis,95, 3.93 ," 1,142",Bellwether
C.S. Friedman,96, 4.04 ," 1,130",This Alien Shore
Catherine Asaro,97, 3.74 ," 1,119",Primary Inversion
Marissa Meyer,98, 4.29 ," 1,115",Scarlet
Nancy Kress,99, 3.61 ," 1,107",Probability Moon
Nancy Farmer,100, 4.10 ," 1,083",The House of the Scorpion
